data_inicio,data_fim,m7,m9,asc2,totalAC2,no_sprint
02/02/2021,12/02/2021,100.0,0.0,50.0,25.0,0
13/02/2021,19/02/2021,90.91,36.36,63.635,31.8175,1
20/02/2021,26/02/2021,81.82,45.45,63.635,31.8175,2
27/02/2021,05/03/2021,78.57,28.57,53.56999999999999,26.784999999999997,3
05/03/2021,12/03/2021,100.0,57.14,78.57,39.285,4
12/03/2021,19/03/2021,100.0,76.47,88.235,44.1175,5
19/03/2021,26/03/2021,100.0,28.0,64.0,32.0,6
26/03/2021,02/04/2021,64.29,42.86,53.575,26.7875,7
02/04/2021,09/04/2021,81.82,45.45,63.635,31.8175,8
09/04/2021,16/04/2021,100.0,37.5,68.75,34.375,9
16/04/2021,23/04/2021,100.0,50.0,75.0,37.5,10
23/04/2021,30/04/2021,100.0,28.57,64.285,32.1425,11
30/04/2021,07/05/2021,50.0,100.0,75.0,37.5,12
07/05/2021,14/05/2021,100.0,26.67,63.335,31.6675,13
14/05/2021,21/05/2021,0.0,81.82,40.91,20.455,14
